unix,date,operation,price,open,high,low,close
1633039200,2021-10-01,BUY,43816.742188,43816.742188,48436.011719,43320.023438,48116.941406
1633039200,2021-10-01,SELL,48116.941406,43816.742188,48436.011719,43320.023438,48116.941406
1633125600,2021-10-02,BUY,48137.46875,48137.46875,48282.0625,47465.496094,47711.488281
1633298400,2021-10-04,SELL,49112.902344,48208.90625,49456.777344,47045.003906,49112.902344
1633384800,2021-10-05,BUY,49174.960938,49174.960938,51839.984375,49072.839844,51514.8125
1633384800,2021-10-05,SELL,51514.8125,49174.960938,51839.984375,49072.839844,51514.8125
1633471200,2021-10-06,BUY,51486.664063,51486.664063,55568.464844,50488.191406,55361.449219
1633471200,2021-10-06,SELL,55361.449219,51486.664063,55568.464844,50488.191406,55361.449219
1633557600,2021-10-07,BUY,55338.625,55338.625,55338.625,53525.46875,53805.984375
1633903200,2021-10-11,SELL,57484.789063,54734.125,57793.039063,54519.765625,57484.789063
1633989600,2021-10-12,BUY,57526.832031,57526.832031,57627.878906,54477.972656,56041.058594
1634248800,2021-10-15,SELL,61593.949219,57345.902344,62757.128906,56868.144531,61593.949219
1634335200,2021-10-16,BUY,61609.527344,61609.527344,62274.476563,60206.121094,60892.179688
1634594400,2021-10-19,SELL,64261.992188,62043.164063,64434.535156,61622.933594,64261.992188
1634680800,2021-10-20,BUY,64284.585938,64284.585938,66930.390625,63610.675781,65992.835938
1634680800,2021-10-20,SELL,65992.835938,64284.585938,66930.390625,63610.675781,65992.835938
1634767200,2021-10-21,BUY,66002.234375,66002.234375,66600.546875,62117.410156,62210.171875
1636326000,2021-11-08,SELL,67566.828125,63344.066406,67673.742188,63344.066406,67566.828125
1636412400,2021-11-09,BUY,67549.734375,67549.734375,68530.335938,66382.0625,66971.828125
