unix,date,trade,price,open,high,low,close
1601503200,2020-01-10 00:00:00,BUY,10795.254883,10795.254883,10933.624023,10472.356445,10619.452148
1602108000,2020-08-10 00:00:00,SELL,10915.685547,10669.371094,10945.737305,10562.606445,10915.685547
1602194400,2020-09-10 00:00:00,BUY,10927.913086,10927.913086,11102.671875,10846.850586,11064.458008
1602280799,2020-09-10 23:59:59,SELL,11064.458008,10927.913086,11102.671875,10846.850586,11064.458008
1602280800,2020-10-10 00:00:00,BUY,11059.142578,11059.142578,11442.210938,11056.94043,11296.361328
1602367199,2020-10-10 23:59:59,SELL,11296.361328,11059.142578,11442.210938,11056.94043,11296.361328
1602367200,2020-11-10 00:00:00,BUY,11296.082031,11296.082031,11428.813477,11288.62793,11384.181641
1602453600,2020-12-10 00:00:00,SELL,11555.363281,11392.635742,11698.467773,11240.686523,11555.363281
1602540000,2020-13-10 00:00:00,BUY,11548.719727,11548.719727,11548.984375,11321.224609,11425.899414
1603058400,2020-19-10 00:00:00,SELL,11742.037109,11495.038086,11799.092773,11408.290039,11742.037109
1603144800,2020-20-10 00:00:00,BUY,11745.974609,11745.974609,11999.917969,11681.480469,11916.334961
1603231199,2020-20-10 23:59:59,SELL,11916.334961,11745.974609,11999.917969,11681.480469,11916.334961
1603231200,2020-21-10 00:00:00,BUY,11913.077148,11913.077148,13184.566406,11900.928711,12823.689453
1603317599,2020-21-10 23:59:59,SELL,12823.689453,11913.077148,13184.566406,11900.928711,12823.689453
1603317600,2020-22-10 00:00:00,BUY,12801.635742,12801.635742,13161.59375,12717.09375,12965.891602
1603403999,2020-22-10 23:59:59,SELL,12965.891602,12801.635742,13161.59375,12717.09375,12965.891602
1603404000,2020-23-10 00:00:00,BUY,12971.548828,12971.548828,13015.961914,12752.647461,12931.539063
1603490400,2020-24-10 00:00:00,SELL,13108.0625,12931.574219,13145.066406,12885.74707,13108.0625
1603576800,2020-25-10 00:00:00,BUY,13108.063477,13108.063477,13329.183594,12910.061523,13031.173828
1603753200,2020-27-10 00:00:00,SELL,13654.21875,13075.242188,13759.668945,13060.837891,13654.21875
1603839600,2020-28-10 00:00:00,BUY,13654.214844,13654.214844,13837.695313,12932.250977,13271.285156
1604358000,2020-03-11 00:00:00,SELL,13950.300781,13550.451172,13984.981445,13325.441406,13950.300781
1604444400,2020-04-11 00:00:00,BUY,13950.488281,13950.488281,14218.766602,13580.47168,14133.707031
1604530799,2020-04-11 23:59:59,SELL,14133.707031,13950.488281,14218.766602,13580.47168,14133.707031
1604530800,2020-05-11 00:00:00,BUY,14133.733398,14133.733398,15706.404297,14102.088867,15579.848633
1604617199,2020-05-11 23:59:59,SELL,15579.848633,14133.733398,15706.404297,14102.088867,15579.848633
1604617200,2020-06-11 00:00:00,BUY,15579.729492,15579.729492,15903.4375,15226.839844,15565.880859
1605135600,2020-12-11 00:00:00,SELL,16276.34375,15701.298828,16305.003906,15534.771484,16276.34375
1605222000,2020-13-11 00:00:00,BUY,16276.44043,16276.44043,16463.177734,15992.152344,16317.808594
1605481200,2020-16-11 00:00:00,SELL,16716.111328,15955.577148,16816.181641,15880.706055,16716.111328
1605567600,2020-17-11 00:00:00,BUY,16685.691406,16685.691406,17782.919922,16564.544922,17645.40625
1605653999,2020-17-11 23:59:59,SELL,17645.40625,16685.691406,17782.919922,16564.544922,17645.40625
1605654000,2020-18-11 00:00:00,BUY,17645.191406,17645.191406,18393.949219,17352.90625,17804.005859
1605826800,2020-20-11 00:00:00,SELL,18621.314453,17817.083984,18773.226563,17765.794922,18621.314453
1605913200,2020-21-11 00:00:00,BUY,18621.316406,18621.316406,18936.621094,18444.359375,18642.232422
1606172400,2020-24-11 00:00:00,SELL,19107.464844,18365.015625,19348.271484,18128.65625,19107.464844
1606258800,2020-25-11 00:00:00,BUY,19104.410156,19104.410156,19390.964844,18581.146484,18732.121094
1606690800,2020-30-11 00:00:00,SELL,19625.835938,18178.322266,19749.263672,18178.322266,19625.835938
1606777200,2020-01-12 00:00:00,BUY,19633.769531,19633.769531,19845.974609,18321.921875,18802.998047
