unix,data,operation,price,open,high,low,close
1635721200,2021-11-01,BUY,61320.449219,61320.449219,62419.003906,59695.183594,61004.40625
1635721200,2021-11-01,HOLD,61004.40625,61320.449219,62419.003906,59695.183594,61004.40625
1635807600,2021-11-02,SSELL,63226.402344,60963.253906,64242.792969,60673.054688,63226.402344
1635894000,2021-11-03,BUY,63254.335938,63254.335938,63516.9375,61184.238281,62970.046875
1635894000,2021-11-03,HOLD,62970.046875,63254.335938,63516.9375,61184.238281,62970.046875
1635980400,2021-11-04,HOLD,61452.230469,62941.804688,63123.289063,60799.664063,61452.230469
1636066800,2021-11-05,HOLD,61125.675781,61460.078125,62541.46875,60844.609375,61125.675781
1636153200,2021-11-06,HOLD,61527.480469,61068.875,61590.683594,60163.78125,61527.480469
1636239600,2021-11-07,HOLD,63326.988281,61554.921875,63326.988281,61432.488281,63326.988281
1636326000,2021-11-08,SSELL,67566.828125,63344.066406,67673.742188,63344.066406,67566.828125
1636412400,2021-11-09,BUY,67549.734375,67549.734375,68530.335938,66382.0625,66971.828125
1636412400,2021-11-09,HOLD,66971.828125,67549.734375,68530.335938,66382.0625,66971.828125
1636498800,2021-11-10,HOLD,64995.230469,66953.335938,68789.625,63208.113281,64995.230469
1636585200,2021-11-11,HOLD,64949.960938,64978.890625,65579.015625,64180.488281,64949.960938
1636671600,2021-11-12,HOLD,64155.941406,64863.980469,65460.816406,62333.914063,64155.941406
1636758000,2021-11-13,HOLD,64469.527344,64158.121094,64915.675781,63303.734375,64469.527344
1636844400,2021-11-14,HOLD,65466.839844,64455.371094,65495.179688,63647.808594,65466.839844
1636930800,2021-11-15,HOLD,63557.871094,65521.289063,66281.570313,63548.144531,63557.871094
1637017200,2021-11-16,HOLD,60161.246094,63721.195313,63721.195313,59016.335938,60161.246094
1637103600,2021-11-17,HOLD,60368.011719,60139.621094,60823.609375,58515.410156,60368.011719
1637190000,2021-11-18,HOLD,56942.136719,60360.136719,60948.5,56550.792969,56942.136719
1637276400,2021-11-19,HOLD,58119.578125,56896.128906,58351.113281,55705.179688,58119.578125
1637362800,2021-11-20,HOLD,59697.195313,58115.082031,59859.878906,57469.726563,59697.195313
1637449200,2021-11-21,HOLD,58730.476563,59730.507813,60004.425781,58618.929688,58730.476563
1637535600,2021-11-22,HOLD,56289.289063,58706.847656,59266.359375,55679.839844,56289.289063
1637622000,2021-11-23,HOLD,57569.074219,56304.554688,57875.515625,55632.761719,57569.074219
1637708400,2021-11-24,HOLD,56280.425781,57565.851563,57803.066406,55964.222656,56280.425781
1637794800,2021-11-25,HOLD,57274.679688,57165.417969,59367.96875,57146.683594,57274.679688
1637881200,2021-11-26,HOLD,53569.765625,58960.285156,59183.480469,53569.765625,53569.765625
1637967600,2021-11-27,HOLD,54815.078125,53736.429688,55329.257813,53668.355469,54815.078125
1638054000,2021-11-28,HOLD,57248.457031,54813.023438,57393.84375,53576.734375,57248.457031
1638140400,2021-11-29,HOLD,57806.566406,57291.90625,58872.878906,56792.527344,57806.566406
1638226800,2021-11-30,HOLD,57005.425781,57830.113281,59113.402344,56057.28125,57005.425781
1638313200,2021-12-01,HOLD,57229.828125,56907.964844,59041.683594,56553.082031,57229.828125
1638399600,2021-12-02,HOLD,56477.816406,57217.371094,57349.234375,55895.132813,56477.816406
1638486000,2021-12-03,HOLD,53598.246094,56509.164063,57482.167969,52496.585938,53598.246094
1638572400,2021-12-04,HOLD,49200.703125,53727.878906,53904.679688,42874.617188,49200.703125
1638658800,2021-12-05,HOLD,49368.847656,49201.519531,49768.148438,47857.496094,49368.847656
1638745200,2021-12-06,HOLD,50582.625,49413.480469,50929.519531,47281.035156,50582.625
1638831600,2021-12-07,HOLD,50700.085938,50581.828125,51934.78125,50175.808594,50700.085938
1638918000,2021-12-08,HOLD,50504.796875,50667.648438,51171.375,48765.988281,50504.796875
1639004400,2021-12-09,HOLD,47672.121094,50450.082031,50797.164063,47358.351563,47672.121094
1639090800,2021-12-10,HOLD,47243.304688,47642.144531,50015.253906,47023.699219,47243.304688
