unix,data,operation,price,open,high,low,close
1633039200,2021-10-01,BUY,43816.742188,43816.742188,48436.011719,43320.023438,48116.941406
1633039200,2021-10-01,SSELL,48116.941406,43816.742188,48436.011719,43320.023438,48116.941406
1633125600,2021-10-02,BUY,48137.46875,48137.46875,48282.0625,47465.496094,47711.488281
1633125600,2021-10-02,HOLD,47711.488281,48137.46875,48282.0625,47465.496094,47711.488281
1633212000,2021-10-03,HOLD,48199.953125,47680.027344,49130.691406,47157.289063,48199.953125
1633298400,2021-10-04,SSELL,49112.902344,48208.90625,49456.777344,47045.003906,49112.902344
1633384800,2021-10-05,BUY,49174.960938,49174.960938,51839.984375,49072.839844,51514.8125
1633384800,2021-10-05,SSELL,51514.8125,49174.960938,51839.984375,49072.839844,51514.8125
1633471200,2021-10-06,BUY,51486.664063,51486.664063,55568.464844,50488.191406,55361.449219
1633471200,2021-10-06,SSELL,55361.449219,51486.664063,55568.464844,50488.191406,55361.449219
1633557600,2021-10-07,BUY,55338.625,55338.625,55338.625,53525.46875,53805.984375
1633557600,2021-10-07,HOLD,53805.984375,55338.625,55338.625,53525.46875,53805.984375
1633644000,2021-10-08,HOLD,53967.847656,53802.144531,55922.980469,53688.054688,53967.847656
1633730400,2021-10-09,HOLD,54968.222656,53929.78125,55397.945313,53735.144531,54968.222656
1633816800,2021-10-10,HOLD,54771.578125,54952.820313,56401.304688,54264.257813,54771.578125
1633903200,2021-10-11,SSELL,57484.789063,54734.125,57793.039063,54519.765625,57484.789063
1633989600,2021-10-12,BUY,57526.832031,57526.832031,57627.878906,54477.972656,56041.058594
1633989600,2021-10-12,HOLD,56041.058594,57526.832031,57627.878906,54477.972656,56041.058594
1634076000,2021-10-13,HOLD,57401.097656,56038.257813,57688.660156,54370.972656,57401.097656
1634162400,2021-10-14,HOLD,57321.523438,57372.832031,58478.734375,56957.074219,57321.523438
1634248800,2021-10-15,SSELL,61593.949219,57345.902344,62757.128906,56868.144531,61593.949219
1634335200,2021-10-16,BUY,61609.527344,61609.527344,62274.476563,60206.121094,60892.179688
1634335200,2021-10-16,HOLD,60892.179688,61609.527344,62274.476563,60206.121094,60892.179688
1634421600,2021-10-17,HOLD,61553.617188,60887.652344,61645.523438,59164.46875,61553.617188
1634508000,2021-10-18,HOLD,62026.078125,61548.804688,62614.660156,60012.757813,62026.078125
1634594400,2021-10-19,SSELL,64261.992188,62043.164063,64434.535156,61622.933594,64261.992188
1634680800,2021-10-20,BUY,64284.585938,64284.585938,66930.390625,63610.675781,65992.835938
1634680800,2021-10-20,SSELL,65992.835938,64284.585938,66930.390625,63610.675781,65992.835938
1634767200,2021-10-21,BUY,66002.234375,66002.234375,66600.546875,62117.410156,62210.171875
1634767200,2021-10-21,HOLD,62210.171875,66002.234375,66600.546875,62117.410156,62210.171875
1634853600,2021-10-22,HOLD,60692.265625,62237.890625,63715.023438,60122.796875,60692.265625
1634940000,2021-10-23,HOLD,61393.617188,60694.628906,61743.878906,59826.523438,61393.617188
