date,time,open,high,low,close,volume
11/01/2021,00:00,61320.449219,62419.003906,59695.183594,61004.40625,36150572843
11/02/2021,00:00,60963.253906,64242.792969,60673.054688,63226.402344,37746665647
11/03/2021,00:00,63254.335938,63516.9375,61184.238281,62970.046875,36124731509
11/04/2021,00:00,62941.804688,63123.289063,60799.664063,61452.230469,32615846901
11/05/2021,00:00,61460.078125,62541.46875,60844.609375,61125.675781,30605102446
11/06/2021,00:00,61068.875,61590.683594,60163.78125,61527.480469,29094934221
11/07/2021,00:00,61554.921875,63326.988281,61432.488281,63326.988281,24726754302
11/08/2021,00:00,63344.066406,67673.742188,63344.066406,67566.828125,41125608330
11/09/2021,00:00,67549.734375,68530.335938,66382.0625,66971.828125,42357991721
11/10/2021,00:00,66953.335938,68789.625,63208.113281,64995.230469,48730828378
11/11/2021,00:00,64978.890625,65579.015625,64180.488281,64949.960938,35880633236
11/12/2021,00:00,64863.980469,65460.816406,62333.914063,64155.941406,36084893887
11/13/2021,00:00,64158.121094,64915.675781,63303.734375,64469.527344,30474228777
11/14/2021,00:00,64455.371094,65495.179688,63647.808594,65466.839844,25122092191
11/15/2021,00:00,65521.289063,66281.570313,63548.144531,63557.871094,30558763548
11/16/2021,00:00,63721.195313,63721.195313,59016.335938,60161.246094,46844335592
11/17/2021,00:00,60139.621094,60823.609375,58515.410156,60368.011719,39178392930
11/18/2021,00:00,60360.136719,60948.5,56550.792969,56942.136719,41388338699
11/19/2021,00:00,56896.128906,58351.113281,55705.179688,58119.578125,38702407772
11/20/2021,00:00,58115.082031,59859.878906,57469.726563,59697.195313,30624264863
11/21/2021,00:00,59730.507813,60004.425781,58618.929688,58730.476563,26123447605
11/22/2021,00:00,58706.847656,59266.359375,55679.839844,56289.289063,35036121783
11/23/2021,00:00,56304.554688,57875.515625,55632.761719,57569.074219,37485803899
11/24/2021,00:00,57565.851563,57803.066406,55964.222656,56280.425781,36635566789
11/25/2021,00:00,57165.417969,59367.96875,57146.683594,57274.679688,34284016248
11/26/2021,00:00,58960.285156,59183.480469,53569.765625,53569.765625,41810748221
11/27/2021,00:00,53736.429688,55329.257813,53668.355469,54815.078125,30560857714
11/28/2021,00:00,54813.023438,57393.84375,53576.734375,57248.457031,28116886357
11/29/2021,00:00,57291.90625,58872.878906,56792.527344,57806.566406,32370840356
11/30/2021,00:00,57830.113281,59113.402344,56057.28125,57005.425781,36708594618
12/01/2021,00:00,56907.964844,59041.683594,56553.082031,57229.828125,36858195307
12/02/2021,00:00,57217.371094,57349.234375,55895.132813,56477.816406,32379968686
12/03/2021,00:00,56509.164063,57482.167969,52496.585938,53598.246094,39789134215
12/04/2021,00:00,53727.878906,53904.679688,42874.617188,49200.703125,61385677469
