unix,date,trade,price,open,high,low,close,balance
1602021600,2020-10-07,LONG,10603.355469,10603.355469,10680.507813,10562.506836,10668.96875,99.0
1602108000,2020-10-08,CLOSE,10915.685547,10669.371094,10945.737305,10562.606445,10915.685547,100.89696073938819
1602194400,2020-10-09,LONG,10927.913086,10927.913086,11102.671875,10846.850586,11064.458008,99.89696073938819
1602280800,2020-10-10,CLOSE,11296.361328,11059.142578,11442.210938,11056.94043,11296.361328,102.23246045684624
1602367200,2020-10-11,LONG,11296.082031,11296.082031,11428.813477,11288.62793,11384.181641,101.23246045684624
1602453600,2020-10-12,CLOSE,11555.363281,11392.635742,11698.467773,11240.686523,11555.363281,102.52050885130849
1602540000,2020-10-13,LONG,11548.719727,11548.719727,11548.984375,11321.224609,11425.899414,101.52050885130849
1603144800,2020-10-20,CLOSE,11916.334961,11745.974609,11999.917969,11681.480469,11916.334961,103.70455715489403
1603231200,2020-10-21,LONG,11913.077148,11913.077148,13184.566406,11900.928711,12823.689453,102.70455715489403
1603317600,2020-10-22,CLOSE,12965.891602,12801.635742,13161.59375,12717.09375,12965.891602,110.66322975773544
1603404000,2020-10-23,LONG,12971.548828,12971.548828,13015.961914,12752.647461,12931.539063,109.66322975773544
1603753200,2020-10-27,CLOSE,13654.21875,13075.242188,13759.668945,13060.837891,13654.21875,114.28026755481545
1603839600,2020-10-28,LONG,13654.214844,13654.214844,13837.695313,12932.250977,13271.285156,113.28026755481545
1604358000,2020-11-03,CLOSE,13950.300781,13550.451172,13984.981445,13325.441406,13950.300781,114.5793357411458
1604444400,2020-11-04,LONG,13950.488281,13950.488281,14218.766602,13580.47168,14133.707031,113.5793357411458
1604530800,2020-11-05,CLOSE,15579.848633,14133.733398,15706.404297,14102.088867,15579.848633,125.57649128904359
1604617200,2020-11-06,LONG,15579.729492,15579.729492,15903.4375,15226.839844,15565.880859,124.57649128904359
1605135600,2020-11-12,CLOSE,16276.34375,15701.298828,16305.003906,15534.771484,16276.34375,128.84519583387004
1605222000,2020-11-13,LONG,16276.44043,16276.44043,16463.177734,15992.152344,16317.808594,127.84519583387004
1605481200,2020-11-16,CLOSE,16716.111328,15955.577148,16816.181641,15880.706055,16716.111328,129.98565565639734
1605567600,2020-11-17,LONG,16685.691406,16685.691406,17782.919922,16564.544922,17645.40625,128.98565565639734
1605654000,2020-11-18,CLOSE,17804.005859,17645.191406,18393.949219,17352.90625,17804.005859,136.25427319874765
1605740400,2020-11-19,LONG,17803.861328,17803.861328,18119.546875,17382.554688,17817.089844,135.25427319874765
1605826800,2020-11-20,CLOSE,18621.314453,17817.083984,18773.226563,17765.794922,18621.314453,140.04974442824934
1605913200,2020-11-21,LONG,18621.316406,18621.316406,18936.621094,18444.359375,18642.232422,139.04974442824934
1606172400,2020-11-24,CLOSE,19107.464844,18365.015625,19348.271484,18128.65625,19107.464844,141.2531297384615
1606258800,2020-11-25,LONG,19104.410156,19104.410156,19390.964844,18581.146484,18732.121094,140.2531297384615
1606690800,2020-11-30,CLOSE,19625.835938,18178.322266,19749.263672,18178.322266,19625.835938,142.64031407647784
1606950000,2020-12-03,LONG,19205.925781,19205.925781,19566.191406,18925.785156,19445.398438,141.64031407647784
1608073200,2020-12-16,CLOSE,21310.597656,19418.818359,21458.908203,19298.316406,21310.597656,155.59027884289623
1608159600,2020-12-17,LONG,21308.351563,21308.351563,23642.660156,21234.675781,22805.162109,154.59027884289623
1608246000,2020-12-18,CLOSE,23137.960938,22806.796875,23238.601563,22399.8125,23137.960938,166.18529990267768
1608332400,2020-12-19,LONG,23132.865234,23132.865234,24085.855469,22826.472656,23869.832031,165.18529990267768
1608591600,2020-12-22,CLOSE,23783.029297,22794.039063,23789.902344,22430.605469,23783.029297,168.12965965982093
1608678000,2020-12-23,LONG,23781.974609,23781.974609,24024.490234,22802.646484,23241.345703,167.12965965982093
1608850800,2020-12-25,CLOSE,24664.791016,23733.570313,24710.101563,23463.673828,24664.791016,171.60038280670935
1608937200,2020-12-26,LONG,24677.015625,24677.015625,26718.070313,24522.689453,26437.037109,170.60038280670935
1609023600,2020-12-27,CLOSE,26272.294922,26439.373047,28288.839844,25922.769531,26272.294922,179.8127862228043
1609110000,2020-12-28,LONG,26280.822266,26280.822266,27389.111328,26207.640625,27084.808594,178.8127862228043
1609196400,2020-12-29,CLOSE,27362.4375,27081.810547,27370.720703,25987.298828,27362.4375,184.31029673743012
1609282800,2020-12-30,LONG,27360.089844,27360.089844,28937.740234,27360.089844,28840.953125,183.31029673743012
1609369200,2020-12-31,CLOSE,29001.720703,28841.574219,29244.876953,28201.992188,29001.720703,192.36599432576668
1609455600,2021-01-01,LONG,28994.009766,28994.009766,29600.626953,28803.585938,29374.152344,191.36599432576668
1609542000,2021-01-02,CLOSE,32127.267578,29376.455078,33155.117188,29091.181641,32127.267578,209.92563253948643
1609628400,2021-01-03,LONG,32129.408203,32129.408203,34608.558594,32052.316406,32782.023438,208.92563253948643
1609801200,2021-01-05,CLOSE,33992.429688,31977.041016,34437.589844,30221.1875,33992.429688,218.8297690065058
1609887600,2021-01-06,LONG,34013.613281,34013.613281,36879.699219,33514.035156,36824.363281,217.8297690065058
1609974000,2021-01-07,CLOSE,39371.042969,36833.875,40180.367188,36491.191406,39371.042969,249.61838877230988
1610060400,2021-01-08,LONG,39381.765625,39381.765625,41946.738281,36838.636719,40797.609375,248.61838877230988
1610146800,2021-01-09,CLOSE,40254.546875,40788.640625,41436.351563,38980.875,40254.546875,251.58700281035718
1610233200,2021-01-10,LONG,40254.21875,40254.21875,41420.191406,35984.628906,38356.441406,250.58700281035718
1612738800,2021-02-08,CLOSE,46196.464844,38886.828125,46203.929688,38076.324219,46196.464844,284.7023662342242
1612825200,2021-02-09,LONG,46184.992188,46184.992188,48003.722656,45166.960938,46481.105469,283.7023662342242
1612998000,2021-02-11,CLOSE,47909.332031,44898.710938,48463.46875,44187.761719,47909.332031,291.3515909779253
1613084400,2021-02-12,LONG,47877.035156,47877.035156,48745.734375,46424.976563,47504.851563,290.3515909779253
1613430000,2021-02-16,CLOSE,49199.871094,47944.457031,50341.101563,47201.304688,49199.871094,295.3902260967152
1613516400,2021-02-17,LONG,49207.277344,49207.277344,52533.914063,49072.378906,52149.007813,294.3902260967152
1613602800,2021-02-18,CLOSE,51679.796875,52140.972656,52474.105469,51015.765625,51679.796875,306.09063595414455
1613689200,2021-02-19,LONG,51675.980469,51675.980469,56113.652344,50937.277344,55888.132813,305.09063595414455
1613775600,2021-02-20,CLOSE,56099.519531,55887.335938,57505.226563,54626.558594,56099.519531,327.89476959600466
1613862000,2021-02-21,LONG,56068.566406,56068.566406,58330.570313,55672.609375,57539.945313,326.89476959600466
1615417200,2021-03-11,CLOSE,57805.121094,55963.179688,58091.0625,54484.59375,57805.121094,333.6491553683717
1615503600,2021-03-12,LONG,57821.21875,57821.21875,57996.621094,55376.648438,57332.089844,332.6491553683717
1615590000,2021-03-13,CLOSE,61243.085938,57343.371094,61683.863281,56217.972656,61243.085938,348.8120215614448
1615676400,2021-03-14,LONG,61221.132813,61221.132813,61597.917969,59302.316406,59302.316406,347.8120215614448
