unix,date,trade,price,open,high,low,close,balance
1446332400,2015-11-01,LONG,315.005005,315.005005,327.471985,311.881012,325.431,99.0
1446418800,2015-11-02,CLOSE,361.188995,325.941986,365.359985,323.209015,361.188995,112.3795902860337
1446505200,2015-11-03,LONG,361.872986,361.872986,417.899994,357.647003,403.416992,111.3795902860337
1446591600,2015-11-04,CLOSE,411.562988,403.664001,495.562012,380.548004,411.562988,125.4067630528587
1446678000,2015-11-05,LONG,408.076996,408.076996,447.561005,374.580994,386.354004,124.4067630528587
1449615600,2015-12-09,CLOSE,417.562988,414.44101,423.119995,406.290985,417.562988,126.0256853848289
1449702000,2015-12-10,LONG,417.988007,417.988007,419.509003,411.548004,415.479004,125.0256853848289
1449788400,2015-12-11,CLOSE,451.937988,415.281006,451.937988,415.281006,451.937988,133.82876349877947
1449874800,2015-12-12,LONG,452.334991,452.334991,469.102997,410.740997,434.997009,132.82876349877947
1450134000,2015-12-15,CLOSE,465.321014,443.877991,465.321014,443.877991,465.321014,135.2757049264448
1450220400,2015-12-16,LONG,465.208008,465.208008,465.208008,443.851013,454.93399,134.2757049264448
