date,time,open,high,low,close,volume
2015-11-01,00:00,315.005005,327.471985,311.881012,325.431,37001100.0
2015-11-02,00:00,325.941986,365.359985,323.209015,361.188995,101918000.0
2015-11-03,00:00,361.872986,417.899994,357.647003,403.416992,206162000.0
2015-11-04,00:00,403.664001,495.562012,380.548004,411.562988,263900000.0
2015-11-05,00:00,408.076996,447.561005,374.580994,386.354004,151824992.0
2015-11-06,00:00,388.046997,395.835999,354.024994,374.470001,122687000.0
2015-11-07,00:00,374.269012,390.585999,372.433014,386.481995,56625100.0
2015-11-08,00:00,384.278015,389.894989,368.700012,373.368011,51817600.0
2015-11-09,00:00,374.324005,385.278015,362.894989,380.256989,68224400.0
2015-11-10,00:00,379.984009,381.386993,329.108002,336.819,95797904.0
2015-11-11,00:00,339.820007,340.584991,300.997009,311.084015,107070000.0
2015-11-12,00:00,314.07901,345.080994,313.355988,338.152008,78477800.0
2015-11-13,00:00,338.497986,340.914001,326.075012,336.752991,52003000.0
2015-11-14,00:00,336.623993,338.181,329.970001,332.906006,38612000.0
2015-11-15,00:00,333.050995,334.661987,317.48999,320.165985,44213100.0
2015-11-16,00:00,319.734985,331.626007,315.904999,330.751007,47980100.0
2015-11-17,00:00,330.362,338.350006,329.614014,335.093994,51001600.0
2015-11-18,00:00,334.592987,336.531006,330.640015,334.589996,43783800.0
2015-11-19,00:00,334.678986,335.334015,325.27301,326.148987,45011100.0
2015-11-20,00:00,326.411011,326.472992,312.21701,322.022003,53152900.0
2015-11-21,00:00,322.09201,328.158997,319.595001,326.927002,28200500.0
2015-11-22,00:00,326.975006,327.01001,321.259003,324.536011,23439400.0
2015-11-23,00:00,324.350006,325.118011,321.290009,323.04599,27478900.0
2015-11-24,00:00,323.014008,323.058014,318.118011,320.04599,29362600.0
2015-11-25,00:00,320.045013,329.134003,316.769989,328.205994,41666900.0
2015-11-26,00:00,328.303009,366.756989,328.229004,352.68399,106105000.0
2015-11-27,00:00,351.860992,363.588989,347.869995,358.041992,55179100.0
2015-11-28,00:00,357.140991,359.536011,352.171997,357.381012,36816600.0
2015-11-29,00:00,357.471985,371.938995,355.665985,371.294006,40409300.0
2015-11-30,00:00,371.437012,382.363007,370.382996,377.321014,71701600.0
2015-12-01,00:00,377.414001,378.931,356.562988,362.488007,60452200.0
2015-12-02,00:00,361.845001,362.231995,349.464996,359.187012,54160500.0
2015-12-03,00:00,359.330994,370.274994,357.411987,361.04599,50714900.0
2015-12-04,00:00,361.261993,363.515991,355.756989,363.183014,35784100.0
2015-12-05,00:00,363.721008,389.785004,363.229004,388.949005,66282200.0
2015-12-06,00:00,389.554993,402.80899,387.088989,388.78299,77762000.0
2015-12-07,00:00,389.977997,399.968994,385.411011,395.536011,63455800.0
2015-12-08,00:00,395.753998,415.562988,389.950012,415.562988,57801400.0
2015-12-09,00:00,414.44101,423.119995,406.290985,417.562988,90917200.0
2015-12-10,00:00,417.988007,419.509003,411.548004,415.479004,52138900.0
2015-12-11,00:00,415.281006,451.937988,415.281006,451.937988,110944000.0
2015-12-12,00:00,452.334991,469.102997,410.740997,434.997009,131969000.0
2015-12-13,00:00,431.660004,441.679993,426.268005,433.755005,55050600.0
2015-12-14,00:00,433.272003,447.141998,430.455994,444.182007,130496000.0
2015-12-15,00:00,443.877991,465.321014,443.877991,465.321014,83121104.0
2015-12-16,00:00,465.208008,465.208008,443.851013,454.93399,107944000.0
2015-12-17,00:00,454.777008,457.859985,448.858002,456.078003,47978400.0
2015-12-18,00:00,455.846985,465.177002,454.940002,463.615997,60220100.0
2015-12-19,00:00,463.552002,465.580994,456.765015,462.321991,47892700.0
2015-12-20,00:00,462.234009,462.644989,434.338013,442.684998,75409400.0
2015-12-21,00:00,442.838013,444.729004,427.312012,438.639008,77639696.0
2015-12-22,00:00,437.436005,443.687988,435.515991,436.571991,50840400.0
2015-12-23,00:00,436.720001,444.528992,436.618988,442.401001,47161400.0
2015-12-24,00:00,443.091003,458.455994,443.076996,454.984985,57157200.0
2015-12-25,00:00,454.855011,458.304993,452.075012,455.653015,39078500.0
2015-12-26,00:00,455.756012,457.489014,405.76001,417.273987,116166000.0
2015-12-27,00:00,416.514008,424.006989,408.882996,422.822998,53591200.0
2015-12-28,00:00,423.342987,429.769012,418.480988,422.278992,49638600.0
2015-12-29,00:00,422.097992,432.983002,420.627014,432.983002,51596500.0
2015-12-30,00:00,433.299988,434.386993,422.084015,426.619995,46889400.0
2015-12-31,00:00,425.875,432.92099,418.734985,430.566986,45996600.0
2016-01-01,00:00,430.721008,436.246002,427.515015,434.334015,36278900.0
2016-01-02,00:00,434.622009,436.062012,431.869995,433.437988,30096600.0
2016-01-03,00:00,433.578003,433.743011,424.705994,430.010986,39633800.0
2016-01-04,00:00,430.061005,434.516998,429.084015,433.091003,38477500.0
2016-01-05,00:00,433.069,434.182007,429.675995,431.959991,34522600.0
2016-01-06,00:00,431.855988,431.855988,426.341003,429.105011,34042500.0
2016-01-07,00:00,430.010986,458.765991,429.076996,458.048004,87562200.0
