unix,date,trade,price,open,high,low,close,position_size,balance
1446332400,2015-11-01 00:00:00,SHORT,315.005005,315.005005,327.471985,311.881012,325.431,0.31428072071426294,99.0
1446418800,2015-11-02 00:00:00,COVER,361.188995,325.941986,365.359985,323.209015,361.188995,0.31428072071426294,84.35011496071309
1446505200,2015-11-03 00:00:00,SHORT,361.872986,361.872986,417.899994,357.647003,403.416992,0.23076222056295173,83.50661381110595
1446591600,2015-11-04 00:00:00,COVER,411.562988,403.664001,495.562012,380.548004,411.562988,0.23076222056295173,71.93380786929154
1446678000,2015-11-05 00:00:00,SHORT,408.076996,408.076996,447.561005,374.580994,386.354004,0.17451233587937562,71.21446979059863
1446764400,2015-11-06 00:00:00,COVER,374.470001,388.046997,395.835999,354.024994,374.470001,0.17451233587937562,77.14514672271542
1446850800,2015-11-07 00:00:00,SHORT,374.269012,374.269012,390.585999,372.433014,386.481995,0.20406096365650564,76.37369525548827
1447110000,2015-11-10 00:00:00,COVER,336.819,379.984009,381.386993,329.108002,336.819,0.20406096365650564,84.09991616320491
1447196400,2015-11-11 00:00:00,SHORT,339.820007,339.820007,340.584991,300.997009,311.084015,0.24500887318730724,83.25891700157285
1447542000,2015-11-15 00:00:00,COVER,320.165985,333.050995,334.661987,317.48999,320.165985,0.24500887318730724,88.13089087484592
1447628400,2015-11-16 00:00:00,SHORT,319.734985,319.734985,331.626007,315.904999,330.751007,0.27288093596044066,87.24958196609745
1447714800,2015-11-17 00:00:00,COVER,335.093994,330.362,338.350006,329.614014,335.093994,0.27288093596044066,83.02530249632665
1447801200,2015-11-18 00:00:00,SHORT,334.592987,334.592987,336.531006,330.640015,334.589996,0.24565682086864354,82.19504947136338
1447887600,2015-11-19 00:00:00,COVER,326.148987,334.678986,335.334015,325.27301,326.148987,0.24565682086864354,84.29842145898199
1447974000,2015-11-20 00:00:00,SHORT,326.411011,326.411011,326.472992,312.21701,322.022003,0.255675925235231,83.45543724439217
1448492400,2015-11-26 00:00:00,COVER,352.68399,328.303009,366.756989,328.229004,352.68399,0.255675925235231,76.67932518988216
1448578800,2015-11-27 00:00:00,SHORT,351.860992,351.860992,363.588989,347.869995,358.041992,0.21574580207510852,75.91253193798335
1448751600,2015-11-29 00:00:00,COVER,371.294006,357.471985,371.938995,355.665985,371.294006,0.21574580207510852,71.68568276641385
1448838000,2015-11-30 00:00:00,SHORT,371.437012,371.437012,382.363007,370.382996,377.321014,0.1910655740972569,70.9688259387497
1449010800,2015-12-02 00:00:00,COVER,359.187012,361.845001,362.231995,349.464996,359.187012,0.1910655740972569,73.33995332254467
1449097200,2015-12-03 00:00:00,SHORT,359.330994,359.330994,370.274994,357.411987,361.04599,0.2020603705265659,72.60655378931922
