date,time,open,high,low,close,volume,position,initial_balance,profit
2020-10-01,00:00,10795.25488,10933.62402,10472.35645,10619.45215,40023134100.0,0,100.0,5.0
2020-10-02,00:00,10619.82129,10657.83789,10416.68945,10575.97461,48661453918.0,0,100.0,5.0
2020-10-03,00:00,10575.10059,10598.94043,10511.12988,10549.3291,44660271563.0,0,100.0,5.0
2020-10-04,00:00,10550.44043,10686.0,10534.3916,10669.58301,71251776995.0,0,100.0,5.0
2020-10-05,00:00,10676.5293,10793.50781,10634.60059,10793.33984,47537578009.0,0,100.0,5.0
2020-10-06,00:00,10796.30664,10797.57813,10528.89063,10604.40625,42623695307.0,0,100.0,5.0
2020-10-07,00:00,10603.35547,10680.50781,10562.50684,10668.96875,37799458436.0,0,100.0,5.0
2020-10-08,00:00,10669.37109,10945.73731,10562.60645,10915.68555,63314794397.0,0,100.0,5.0
2020-10-09,00:00,10927.91309,11102.67188,10846.85059,11064.45801,22799117613.0,0,100.0,5.0
2020-10-10,00:00,11059.14258,11442.21094,11056.94043,11296.36133,22877978588.0,0,100.0,5.0
2020-10-11,00:00,11296.08203,11428.81348,11288.62793,11384.18164,19968627060.0,0,100.0,5.0
2020-10-12,00:00,11392.63574,11698.46777,11240.68652,11555.36328,26163972642.0,0,100.0,5.0
2020-10-13,00:00,11548.71973,11548.98438,11321.22461,11425.89941,24241420251.0,0,100.0,5.0
2020-10-14,00:00,11429.04785,11539.97754,11307.83106,11429.50684,24103426719.0,0,100.0,5.0
2020-10-15,00:00,11426.60254,11569.91406,11303.60352,11495.34961,24487233058.0,0,100.0,5.0
2020-10-16,00:00,11502.82813,11540.06152,11223.0127,11322.12305,25635480772.0,0,100.0,5.0
2020-10-17,00:00,11322.12305,11386.26172,11285.3457,11358.10156,19130430174.0,0,100.0,5.0
2020-10-18,00:00,11355.98242,11483.35938,11347.57813,11483.35938,18283314340.0,0,100.0,5.0
2020-10-19,00:00,11495.03809,11799.09277,11408.29004,11742.03711,23860769928.0,0,100.0,5.0
2020-10-20,00:00,11745.97461,11999.91797,11681.48047,11916.33496,30915821592.0,0,100.0,5.0
2020-10-21,00:00,11913.07715,13184.56641,11900.92871,12823.68945,43414712626.0,0,100.0,5.0
2020-10-22,00:00,12801.63574,13161.59375,12717.09375,12965.8916,34729759598.0,0,100.0,5.0
2020-10-23,00:00,12971.54883,13015.96191,12752.64746,12931.53906,28974975003.0,0,100.0,5.0
2020-10-24,00:00,12931.57422,13145.06641,12885.74707,13108.0625,24542317940.0,0,100.0,5.0
2020-10-25,00:00,13108.06348,13329.18359,12910.06152,13031.17383,24406920575.0,0,100.0,5.0
2020-10-26,00:00,13031.20117,13225.29785,12822.38281,13075.24805,29461458313.0,0,100.0,5.0
2020-10-27,00:00,13075.24219,13759.66895,13060.83789,13654.21875,33749878156.0,0,100.0,5.0
2020-10-28,00:00,13654.21484,13837.69531,12932.25098,13271.28516,35867318895.0,0,100.0,5.0
