unix,date,trade,price,open,high,low,close,balance
1633557600,2021-10-07 00:00:00,LONG,55338.625,55338.625,55338.625,53525.46875,53805.98438,99.0
1634162400,2021-10-14 00:00:00,CLOSE,57321.52344,57372.83203,58478.73438,56957.07422,57321.52344,101.52190287262107
1634248800,2021-10-15 00:00:00,LONG,57345.90234,57345.90234,62757.12891,56868.14453,61593.94922,100.52190287262107
1634335200,2021-10-16 00:00:00,CLOSE,60892.17969,61609.52734,62274.47656,60206.12109,60892.17969,105.67080728536263
1634421600,2021-10-17 00:00:00,LONG,60887.65234,60887.65234,61645.52344,59164.46875,61553.61719,104.67080728536263
1634594400,2021-10-19 00:00:00,CLOSE,64261.99219,62043.16406,64434.53516,61622.93359,64261.99219,109.3668551565317
1634680800,2021-10-20 00:00:00,LONG,64284.58594,64284.58594,66930.39063,63610.67578,65992.83594,108.3668551565317
1635285600,2021-10-27 00:00:00,CLOSE,58482.38672,60352.0,61435.18359,58208.1875,58482.38672,97.60001897564635
1636326000,2021-11-08 00:00:00,LONG,63344.06641,63344.06641,67673.74219,63344.06641,67566.82813,96.60001897564635
1636412400,2021-11-09 00:00:00,CLOSE,66971.82813,67549.73438,68530.33594,66382.0625,66971.82813,101.1110500556481
1636498800,2021-11-10 00:00:00,LONG,66953.33594,66953.33594,68789.625,63208.11328,64995.23047,100.1110500556481
1637103600,2021-11-17 00:00:00,CLOSE,60368.01172,60139.62109,60823.60938,58515.41016,60368.01172,89.36179069541762
1641337200,2022-01-05 00:00:00,SHORT,45899.35938,45899.35938,46929.04688,42798.22266,43569.00391,88.36179069541762
1641942000,2022-01-12 00:00:00,COVER,43949.10156,42742.17969,44135.36719,42528.98828,43949.10156,91.19510899115804
1642028400,2022-01-13 00:00:00,SHORT,43946.74219,43946.74219,44278.42188,42447.04297,42591.57031,90.19510899115804
1642633200,2022-01-20 00:00:00,COVER,40680.41797,41744.02734,43413.02344,40672.82422,40680.41797,95.92983652174934
1642719600,2022-01-21 00:00:00,SHORT,40699.60547,40699.60547,41060.52734,35791.42578,36457.31641,94.92983652174934
1643324400,2022-01-28 00:00:00,COVER,37784.33203,37128.44531,37952.87891,36211.10938,37784.33203,100.71227335643682
1643410800,2022-01-29 00:00:00,SHORT,37780.71484,37780.71484,38576.26172,37406.47266,38138.17969,99.71227335643682
1643929200,2022-02-04 00:00:00,COVER,41500.875,37149.26563,41527.78516,37093.62891,41500.875,88.99494887203632
1645311600,2022-02-20 00:00:00,SHORT,40118.10156,40118.10156,40119.89063,38112.8125,38431.37891,87.99494887203632
1645916400,2022-02-27 00:00:00,COVER,37709.78516,39098.69922,39778.94141,37268.97656,37709.78516,92.34457091194513
1649541600,2022-04-10 00:00:00,SHORT,42781.08984,42781.08984,43376.37891,42021.20703,42207.67188,91.34457091194513
1650146400,2022-04-17 00:00:00,COVER,39716.95313,40417.77734,40570.72656,39620.89453,39716.95313,96.90813014816263
1650232800,2022-04-18 00:00:00,SHORT,39721.20313,39721.20313,40986.32031,38696.19141,40826.21484,95.90813014816263
1650837600,2022-04-25 00:00:00,COVER,40458.30859,39472.60547,40491.75391,38338.37891,40458.30859,93.18708151407932
1651528800,2022-05-03 00:00:00,SHORT,38528.10938,38528.10938,38629.99609,37585.62109,37750.45313,92.18708151407932
1652133600,2022-05-10 00:00:00,COVER,31022.90625,30273.6543,32596.30859,29944.80273,31022.90625,109.04350182249283
1652220000,2022-05-11 00:00:00,SHORT,31016.18359,31016.18359,32013.40234,28170.41406,28936.35547,108.04350182249283
1652824800,2022-05-18 00:00:00,COVER,28720.27148,30424.47852,30618.7168,28720.27148,28720.27148,114.88079787153677
1652911200,2022-05-19 00:00:00,SHORT,28720.35938,28720.35938,30430.75195,28708.95508,30314.33398,113.88079787153677
1653170400,2022-05-22 00:00:00,COVER,30323.72266,29432.47266,30425.86133,29275.18359,30323.72266,106.44797510294516
1655071200,2022-06-13 00:00:00,SHORT,26737.57813,26737.57813,26795.58984,22141.25781,22487.38867,105.44797510294516
1655676000,2022-06-20 00:00:00,COVER,20599.53711,20553.37109,20913.32227,19689.16992,20599.53711,128.35870093544918
1655762400,2022-06-21 00:00:00,SHORT,20594.29492,20594.29492,21620.62891,20415.0625,20710.59766,127.35870093544918
1656367200,2022-06-28 00:00:00,COVER,20280.63477,20731.54492,21164.42383,20228.8125,20280.63477,128.00544554708256
1660860000,2022-08-19 00:00:00,SHORT,23213.3125,23213.3125,23213.3125,20868.84766,20877.55273,127.00544554708256
1661464800,2022-08-26 00:00:00,COVER,20260.01953,21596.08594,21804.9082,20199.48242,20260.01953,141.7319640318613
1661551200,2022-08-27 00:00:00,SHORT,20262.48047,20262.48047,20340.77539,19890.52344,20041.73828,140.7319640318613
1662156000,2022-09-03 00:00:00,COVER,19832.08789,19969.71875,20037.00977,19698.35547,19832.08789,142.2840201326342
1662242400,2022-09-04 00:00:00,SHORT,19832.4707,19832.4707,19999.68945,19636.81641,19986.71289,141.2840201326342
1662674400,2022-09-09 00:00:00,COVER,21381.15234,19328.14063,21439.41016,19310.96289,21381.15234,128.9488933639185
1663884000,2022-09-23 00:00:00,SHORT,19412.40039,19412.40039,19464.67188,18617.55273,19297.63867,127.9488933639185
1664488800,2022-09-30 00:00:00,COVER,19431.78906,19573.43164,20109.84961,19265.66211,19431.78906,126.54288987091238
