unix,date,trade,price,open,high,low,close,position_size,balance
1602626400,2020-10-14 00:00:00,LONG,11429.04785,11429.04785,11539.97754,11307.83106,11429.50684,0.008662138902498338,99.0
1603231200,2020-10-21 00:00:00,CLOSE,12823.68945,11913.07715,13184.56641,11900.92871,12823.68945,0.008662138902498338,109.96977346581848
1603317600,2020-10-22 00:00:00,LONG,12801.63574,12801.63574,13161.59375,12717.09375,12965.8916,0.008512175762456,108.96977346581848
1603753200,2020-10-27 00:00:00,CLOSE,13654.21875,13075.24219,13759.66895,13060.83789,13654.21875,0.008512175762456,115.06483880003204
1603839600,2020-10-28 00:00:00,LONG,13654.21484,13654.21484,13837.69531,12932.25098,13271.28516,0.008353818958954658,114.06483880003204
1604530800,2020-11-05 00:00:00,CLOSE,15579.84863,14133.7334,15706.4043,14102.08887,15579.84863,0.008353818958954658,128.84972251430835
1604617200,2020-11-06 00:00:00,LONG,15579.72949,15579.72949,15903.4375,15226.83984,15565.88086,0.008206158046349261,127.84972251430835
1605481200,2020-11-16 00:00:00,CLOSE,16716.11133,15955.57715,16816.18164,15880.70606,16716.11133,0.008206158046349261,135.80330097940606
1605567600,2020-11-17 00:00:00,LONG,16685.69141,16685.69141,17782.91992,16564.54492,17645.40625,0.008078976032040022,134.80330097940606
1605654000,2020-11-18 00:00:00,CLOSE,17804.00586,17645.19141,18393.94922,17352.90625,17804.00586,0.008078976032040022,142.39975525106772
1605740400,2020-11-19 00:00:00,LONG,17803.86133,17803.86133,18119.54688,17382.55469,17817.08984,0.007942083609290149,141.39975525106772
1606172400,2020-11-24 00:00:00,CLOSE,19107.46484,18365.01563,19348.27148,18128.65625,19107.46484,0.007942083609290149,150.2355524876433
1606258800,2020-11-25 00:00:00,LONG,19104.41016,19104.41016,19390.96484,18581.14648,18732.12109,0.007811576030758926,149.2355524876433
1608073200,2020-12-16 00:00:00,CLOSE,21310.59766,19418.81836,21458.9082,19298.31641,21310.59766,0.007811576030758926,164.8046603431832
1608159600,2020-12-17 00:00:00,LONG,21308.35156,21308.35156,23642.66016,21234.67578,22805.16211,0.0076873454937113495,163.8046603431832
1608246000,2020-12-18 00:00:00,CLOSE,23137.96094,22806.79688,23238.60156,22399.8125,23137.96094,0.0076873454937113495,176.09080476812042
1608332400,2020-12-19 00:00:00,LONG,23132.86523,23132.86523,24085.85547,22826.47266,23869.83203,0.007568919933923828,175.09080476812042
1608850800,2020-12-25 00:00:00,CLOSE,24664.79102,23733.57031,24710.10156,23463.67383,24664.79102,0.007568919933923828,184.81897013316998
1608937200,2020-12-26 00:00:00,LONG,24677.01563,24677.01563,26718.07031,24522.68945,26437.03711,0.007448995165756597,183.81897013316998
1609023600,2020-12-27 00:00:00,CLOSE,26272.29492,26439.37305,28288.83984,25922.76953,26272.29492,0.007448995165756597,193.74517587388746
1609110000,2020-12-28 00:00:00,LONG,26280.82227,26280.82227,27389.11133,26207.64063,27084.80859,0.007334061845314076,192.74517587388746
1609282800,2020-12-30 00:00:00,CLOSE,28840.95313,27360.08984,28937.74023,27360.08984,28840.95313,0.007334061845314076,209.40612059389233
1609369200,2020-12-31 00:00:00,LONG,28841.57422,28841.57422,29244.87695,28201.99219,29001.7207,0.007225892699344216,208.40612059389233
1609542000,2021-01-02 00:00:00,CLOSE,32127.26758,29376.45508,33155.11719,29091.18164,32127.26758,0.007225892699344216,229.8267063736381
1609628400,2021-01-03 00:00:00,LONG,32129.4082,32129.4082,34608.55859,32052.31641,32782.02344,0.007122033028097856,228.8267063736381
1609801200,2021-01-05 00:00:00,CLOSE,33992.42969,31977.04102,34437.58984,30221.1875,33992.42969,0.007122033028097856,239.6742548878994
1609887600,2021-01-06 00:00:00,LONG,34013.61328,34013.61328,36879.69922,33514.03516,36824.36328,0.00701702147675795,238.6742548878994
1609974000,2021-01-07 00:00:00,CLOSE,39371.04297,36833.875,40180.36719,36491.19141,39371.04297,0.00701702147675795,273.5047795420216
1610060400,2021-01-08 00:00:00,LONG,39381.76563,39381.76563,41946.73828,36838.63672,40797.60938,0.006919567347545092,272.5047795420216
1612738800,2021-02-08 00:00:00,CLOSE,46196.46484,38886.82813,46203.92969,38076.32422,46196.46484,0.006919567347545092,316.46295418209013
1612825200,2021-02-09 00:00:00,LONG,46184.99219,46184.99219,48003.72266,45166.96094,46481.10547,0.0068304212953920205,315.46295418209013
1613257200,2021-02-14 00:00:00,CLOSE,48717.28906,47114.50781,49487.64063,47114.50781,48717.28906,0.0068304212953920205,329.4320125627008
1613343600,2021-02-15 00:00:00,LONG,48696.53516,48696.53516,48875.57031,46347.47656,47945.05859,0.006744463676596016,328.4320125627008
1613516400,2021-02-17 00:00:00,CLOSE,52149.00781,49207.27734,52533.91406,49072.37891,52149.00781,0.006744463676596016,348.1999180556163
1613602800,2021-02-18 00:00:00,LONG,52140.97266,52140.97266,52474.10547,51015.76563,51679.79688,0.006658869222092036,347.1999180556163
1613689200,2021-02-19 00:00:00,CLOSE,55888.13281,51675.98047,56113.65234,50937.27734,55888.13281,0.006658869222092036,368.4302497742141
1613775600,2021-02-20 00:00:00,LONG,55887.33594,55887.33594,57505.22656,54626.55859,56099.51953,0.006574481384632164,367.4302497742141
1615590000,2021-03-13 00:00:00,CLOSE,61243.08594,57343.37109,61683.86328,56217.97266,61243.08594,0.006574481384632164,398.6151131654582
1615676400,2021-03-14 00:00:00,LONG,61221.13281,61221.13281,61597.91797,59302.31641,59302.31641,0.0064947362930943804,397.6151131654582
