unix,date,trade,price,open,high,low,close,position_size,balance
1633903200,2021-10-11 00:00:00,LONG,54734.125,54734.125,57793.03906,54519.76563,57484.78906,0.00180874363114419,99.0
1634248800,2021-10-15 00:00:00,CLOSE,61593.94922,57345.90234,62757.12891,56868.14453,61593.94922,0.00180874363114419,110.29358673500673
1634508000,2021-10-18 00:00:00,LONG,61548.80469,61548.80469,62614.66016,60012.75781,62026.07813,0.0017757223277605578,109.29358673500673
1634680800,2021-10-20 00:00:00,CLOSE,65992.83594,64284.58594,66930.39063,63610.67578,65992.83594,0.0017757223277605578,116.01310272838843
1635112800,2021-10-25 00:00:00,LONG,60893.92578,60893.92578,63729.32422,60691.80078,63039.82422,0.0018887450801564733,115.01310272838843
1635285600,2021-10-27 00:00:00,CLOSE,59879.027017,60352.0,61435.18359,58208.1875,59879.027017,0.0018887450801564733,109.3537369912762
1635458400,2021-10-29 00:00:00,LONG,60624.87109,60624.87109,62927.60938,60329.96484,62227.96484,0.001787281936326443,108.3537369912762
1636326000,2021-11-08 00:00:00,CLOSE,67566.82813,63344.06641,67673.74219,63344.06641,67566.82813,0.001787281936326443,119.55336169750615
1636844400,2021-11-14 00:00:00,LONG,64455.37109,64455.37109,65495.17969,63647.80859,65466.83984,0.001839309272333074,118.55336169750615
1637017200,2021-11-16 00:00:00,CLOSE,63381.114905166665,63721.19531,63721.19531,59016.33594,63381.114905166665,0.001839309272333074,109.54858639076441
1638140400,2021-11-29 00:00:00,LONG,57291.90625,57291.90625,58872.87891,56792.52734,57806.56641,0.0018946583120676738,108.54858639076441
1638226800,2021-11-30 00:00:00,CLOSE,56337.04114583333,57830.11328,59113.40234,56057.28125,56337.04114583333,0.0018946583120676738,106.92574574916351
1641337200,2022-01-05 00:00:00,SHORT,45899.35938,45899.35938,46929.04688,42798.22266,43569.00391,0.002307782661457344,105.92574574916351
1641423600,2022-01-06 00:00:00,COVER,43160.92969,43565.51172,43748.71875,42645.53906,43160.92969,0.002307782661457344,111.12299184429187
1641510000,2022-01-07 00:00:00,SHORT,43153.57031,43153.57031,43153.57031,41077.44531,41557.90234,0.002551885998150494,110.12299184429187
1641942000,2022-01-12 00:00:00,COVER,43872.796481833335,42742.17969,44135.36719,42528.98828,43872.796481833335,0.002551885998150494,107.20473256041814
1642374000,2022-01-17 00:00:00,SHORT,43118.12109,43118.12109,43179.39063,41680.32031,42250.55078,0.0024631113294277854,106.20473256041814
1642633200,2022-01-20 00:00:00,COVER,40680.41797,41744.02734,43413.02344,40672.82422,40680.41797,0.0024631113294277854,111.08697606574088
1642719600,2022-01-21 00:00:00,SHORT,40699.60547,40699.60547,41060.52734,35791.42578,36457.31641,0.0027048659266952074,110.08697606574088
1642806000,2022-01-22 00:00:00,COVER,35030.25,36471.58984,36688.8125,34349.25,35030.25,0.0027048659266952074,124.16760427783832
1644534000,2022-02-11 00:00:00,SHORT,43571.12891,43571.12891,43810.83203,42114.53906,42407.9375,0.002826816916592908,123.16760427783832
1644879600,2022-02-15 00:00:00,COVER,44297.31439183333,42586.46484,44667.21875,42491.03516,44297.31439183333,0.002826816916592908,119.90366276447561
1645052400,2022-02-17 00:00:00,SHORT,43937.07031,43937.07031,44132.97266,40249.37109,40538.01172,0.0027062264717593915,118.90366276447561
1645138800,2022-02-18 00:00:00,COVER,40030.97656,40552.13281,40929.15234,39637.61719,40030.97656,0.0027062264717593915,128.17969270118053
1645311600,2022-02-20 00:00:00,SHORT,40118.10156,40118.10156,40119.89063,38112.8125,38431.37891,0.003170132378048163,127.17969270118053
1645398000,2022-02-21 00:00:00,COVER,37075.28125,38423.21094,39394.4375,36950.47656,37075.28125,0.003170132378048163,135.45757752762913
1645916400,2022-02-27 00:00:00,SHORT,39098.69922,39098.69922,39778.94141,37268.97656,37709.78516,0.003438927130825124,134.45757752762913
1646002800,2022-02-28 00:00:00,COVER,39750.344207,37706.0,43760.45703,37518.21484,39750.344207,0.003438927130825124,130.89445172314697
1646262000,2022-03-03 00:00:00,SHORT,43925.19531,43925.19531,44021.57813,41914.75,42451.78906,0.0029571741413196456,129.89445172314697
1646348400,2022-03-04 00:00:00,COVER,39137.60547,42458.14063,42479.61328,38805.84766,39137.60547,0.0029571741413196456,142.61166671126722
1646521200,2022-03-06 00:00:00,SHORT,39404.19922,39404.19922,39640.17578,38211.64844,38419.98438,0.003593821712265397,141.61166671126722
1646780400,2022-03-09 00:00:00,COVER,40060.93587366667,38742.81641,42465.67188,38706.09375,40060.93587366667,0.003593821712265397,137.85895754341863
1647126000,2022-03-13 00:00:00,SHORT,38884.72656,38884.72656,39209.35156,37728.14453,37849.66406,0.0035196070449985597,136.85895754341863
1647212400,2022-03-14 00:00:00,COVER,39532.805336000005,37846.31641,39742.5,37680.73438,39532.805336000005,0.0035196070449985597,133.23219516851802
1647817200,2022-03-21 00:00:00,SHORT,41246.13281,41246.13281,41454.41016,40668.04297,41077.99609,0.0032059295298699788,132.23219516851802
1647903600,2022-03-22 00:00:00,COVER,41933.56835683333,41074.10547,43124.70703,40948.28125,41933.56835683333,0.0032059295298699788,128.7280419965523
1649196000,2022-04-06 00:00:00,SHORT,45544.35547,45544.35547,45544.35547,43193.95313,43206.73828,0.002804475783627821,127.72804199655229
1649368800,2022-04-08 00:00:00,COVER,42287.66406,43505.13672,43903.01953,42183.28906,42287.66406,0.002804475783627821,135.49274064873958
1649541600,2022-04-10 00:00:00,SHORT,42781.08984,42781.08984,43376.37891,42021.20703,42207.67188,0.0031437427412844884,134.49274064873958
1649628000,2022-04-11 00:00:00,COVER,39521.90234,42201.03906,42424.58984,39373.05859,39521.90234,0.0031437427412844884,143.29139981740622
1650578400,2022-04-22 00:00:00,SHORT,40525.86328,40525.86328,40777.75781,39315.41797,39740.32031,0.003511125693592041,142.29139981740622
1650924000,2022-04-26 00:00:00,COVER,38117.46094,40448.42188,40713.89063,37884.98438,38117.46094,0.003511125693592041,149.24012712234853
1651269600,2022-04-30 00:00:00,SHORT,38605.85938,38605.85938,38771.21094,37697.94141,37714.875,0.0038398349241033918,148.24012712234853
1651615200,2022-05-04 00:00:00,COVER,39249.29036966667,37748.01172,39902.94922,37732.05859,39249.29036966667,0.0038398349241033918,144.31176375360627
1651701600,2022-05-05 00:00:00,SHORT,39695.74609,39695.74609,39789.28125,35856.51563,36575.14063,0.0036102549484441815,143.31176375360627
