unix,date,trade,price,open,high,low,close,balance
1581289200,2020-10-02 00:00:00,LONG,10115.55957,10115.55957,10165.765625,9784.563477,9856.611328,99.0
1581462000,2020-12-02 00:00:00,CLOSE,10326.054688,10202.387695,10393.611328,10202.387695,10326.054688,100.04949434259326
1581548400,2020-13-02 00:00:00,LONG,10323.960938,10323.960938,10457.626953,10116.161133,10214.379883,99.04949434259326
1582153200,2020-20-02 00:00:00,CLOSE,9608.475586,9629.325195,9643.216797,9507.900391,9608.475586,91.26317964324015
1583967600,2020-12-03 00:00:00,SHORT,7913.616211,7913.616211,7929.116211,4860.354004,4970.788086,90.26317964324015
1584572400,2020-19-03 00:00:00,COVER,6191.192871,5245.416504,6329.73584,5236.96875,6191.192871,108.81015080740909
1584658800,2020-20-03 00:00:00,SHORT,6191.653809,6191.653809,6844.261719,5865.781738,6198.77832,107.81015080740909
1584918000,2020-23-03 00:00:00,COVER,6416.314941,5831.374512,6443.93457,5785.004395,6416.314941,102.8593290607755
1591480800,2020-07-06 00:00:00,LONG,9653.00293,9653.00293,9768.498047,9458.150391,9758.852539,101.8593290607755
1591740000,2020-10-06 00:00:00,CLOSE,9870.094727,9794.119141,9908.896484,9728.291016,9870.094727,103.10859963573353
1595455200,2020-23-07 00:00:00,LONG,9527.141602,9527.141602,9610.24707,9483.003906,9581.072266,102.10859963573353
1595714400,2020-26-07 00:00:00,CLOSE,9905.166992,9680.234375,10023.807617,9652.847656,9905.166992,105.09854321824102
1595800800,2020-27-07 00:00:00,LONG,9905.217773,9905.217773,11298.22168,9903.969727,10990.873047,104.09854321824102
1595887200,2020-28-07 00:00:00,CLOSE,10912.823242,11017.463867,11204.327148,10632.631836,10912.823242,113.54105862640063
1595973600,2020-29-07 00:00:00,LONG,10912.953125,10912.953125,11304.397461,10856.141602,11100.467773,112.54105862640063
1596146400,2020-31-07 00:00:00,CLOSE,11323.466797,11110.210938,11415.864258,10987.053711,11323.466797,115.60678184886137
1596232800,2020-01-08 00:00:00,LONG,11322.570313,11322.570313,11794.775391,11239.682617,11759.592773,114.60678184886137
1596578400,2020-05-08 00:00:00,CLOSE,11747.022461,11203.823242,11786.617188,11158.285156,11747.022461,117.7140454253222
1596664800,2020-06-08 00:00:00,LONG,11749.871094,11749.871094,11902.335938,11598.713867,11779.773438,116.7140454253222
1597269600,2020-13-08 00:00:00,CLOSE,11784.137695,11588.405273,11796.396484,11216.87207,11784.137695,115.88387885425058
1597528800,2020-16-08 00:00:00,LONG,11866.685547,11866.685547,11934.901367,11737.188477,11892.803711,114.88387885425058
1597615200,2020-17-08 00:00:00,CLOSE,12254.402344,11895.658203,12359.056641,11806.696289,12254.402344,117.45107225231061
1597701600,2020-18-08 00:00:00,LONG,12251.895508,12251.895508,12335.707031,11954.525391,11991.233398,116.45107225231061
1598306400,2020-25-08 00:00:00,CLOSE,11366.134766,11773.588867,11778.299805,11189.850586,11366.134766,106.95182587875495
1600293600,2020-17-09 00:00:00,LONG,10973.251953,10973.251953,11037.420898,10774.62793,10948.990234,105.95182587875495
1600898400,2020-24-09 00:00:00,CLOSE,10760.066406,10248.786133,10771.056641,10231.490234,10760.066406,102.85448655545228
1602021600,2020-07-10 00:00:00,LONG,10603.355469,10603.355469,10680.507813,10562.506836,10668.96875,101.85448655545228
1602108000,2020-08-10 00:00:00,CLOSE,10915.685547,10669.371094,10945.737305,10562.606445,10915.685547,103.80614273854556
1602194400,2020-09-10 00:00:00,LONG,10927.913086,10927.913086,11102.671875,10846.850586,11064.458008,102.80614273854556
1602280800,2020-10-10 00:00:00,CLOSE,11296.361328,11059.142578,11442.210938,11056.94043,11296.361328,105.20965647451604
