Mode,Date,Price,Holding,Balance,Profit to Initial Balance
NO SIGNAL,2020-10-01,10795.254883,0.0,100.0,0.0
Short,2020-10-02,10619.821289,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-03,10575.100586,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-04,10550.44043,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-05,10676.529297,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-06,10796.306641,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-07,10603.355469,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-08,10669.371094,0.009416354313191683,100.0,0.0
Hold Position Short,2020-10-09,10927.913086,0.009416354313191683,100.0,0.0
Hold Position Closed,2020-10-10,11059.142578,0.0,95.86319508544791,-4.136804914552087
Long,2020-10-10,11059.142578,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-11,11296.082031,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-12,11392.635742,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-13,11548.719727,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-14,11429.047852,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-15,11426.602539,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-16,11502.828125,0.00866823032701911,95.86319508544791,0.0
Hold Position Long,2020-10-17,11322.123047,0.00866823032701911,95.86319508544791,0.0
Hold Position Closed,2020-10-18,11355.982422,0.0,98.43627122347633,-1.563728776523675
Long,2020-10-18,11355.982422,0.00866823032701911,98.43627122347633,0.0
Hold Position Long,2020-10-19,11495.038086,0.00866823032701911,98.43627122347633,0.0
Take Profit Long,2020-10-20,11745.974609,0.00866823032701911,101.81681332613024,1.8168133261302444
Long,2020-10-21,11913.077148,0.00854664265673991,101.81681332613024,0.0
Take Profit Long,2020-10-22,12801.635742,0.00854664265673991,109.41100610862348,9.411006108623482
Short,2020-10-23,12971.548828,0.0084346909963791,109.41100610862348,0.0
Hold Position Short,2020-10-24,12931.574219,0.0084346909963791,109.41100610862348,0.0
Hold Position Short,2020-10-25,13108.063477,0.0084346909963791,109.41100610862348,0.0
Hold Position Short,2020-10-26,13031.201172,0.0084346909963791,109.41100610862348,0.0
Hold Position Short,2020-10-27,13075.242188,0.0084346909963791,109.41100610862348,0.0
Hold Position Short,2020-10-28,13654.214844,0.0084346909963791,109.41100610862348,0.0
Hold Position Short,2020-10-29,13271.298828,0.0084346909963791,109.41100610862348,0.0
