Mode,Date,Price,Holding,Balance,Profit to Initial Balance
NO SIGNAL,2015-11-01,315.005005,0.0,100.0,0.0
Long,2015-11-02,325.941986,0.3068030640274739,100.0,0.0
Take Profit Long,2015-11-03,361.872986,0.3068030640274739,111.02374089357119,11.023740893571187
Long,2015-11-04,403.664001,0.27503998528115264,111.02374089357119,0.0
Take Profit Long,2015-11-05,408.076996,0.27503998528115264,112.23749097341698,12.237490973416982
Short,2015-11-06,388.046997,0.2892368497659498,112.23749097341698,0.0
Hold Position Short,2015-11-07,374.269012,0.2892368497659498,112.23749097341698,0.0
Hold Position Short,2015-11-08,384.278015,0.2892368497659498,112.23749097341698,0.0
Hold Position Short,2015-11-09,374.324005,0.2892368497659498,112.23749097341698,0.0
Hold Position Short,2015-11-10,379.984009,0.2892368497659498,112.23749097341698,0.0
Take Profit Short,2015-11-11,339.820007,0.2892368497659498,126.18651363471095,-1.7115316878769846
Long,2015-11-12,314.07901,0.4017667835705129,126.18651363471095,0.0
Take Profit Long,2015-11-13,338.497986,0.4017667835705129,135.9972470803165,35.9972470803165
Short,2015-11-14,336.623993,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-15,333.050995,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-16,319.734985,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-17,330.362,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-18,334.592987,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-19,334.678986,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-20,326.411011,0.40400342788494137,135.9972470803165,0.0
Hold Position Short,2015-11-21,322.09201,0.40400342788494137,135.9972470803165,0.0
Hold Position Closed,2015-11-22,326.975006,0.0,132.09902325669927,32.09902325669927
Short,2015-11-22,326.975006,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-23,324.350006,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-24,323.014008,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-25,320.045013,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-26,328.303009,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-27,351.860992,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-28,357.140991,0.40400342788494137,132.09902325669927,0.0
Hold Position Short,2015-11-29,357.471985,0.40400342788494137,132.09902325669927,0.0
Hold Position Closed,2015-11-30,371.437012,0.0,114.13622042205844,14.136220422058443
Long,2015-11-30,371.437012,0.3072828413288508,114.13622042205844,0.0
Take Profit Long,2015-12-01,377.414001,0.3072828413288508,115.97284658456974,15.972846584569737
Short,2015-12-02,361.845001,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-03,359.330994,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-04,361.261993,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-05,363.721008,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-06,389.554993,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-07,389.977997,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-08,395.753998,0.3205042110960923,115.97284658456974,0.0
Hold Position Short,2015-12-09,414.44101,0.3205042110960923,115.97284658456974,0.0
Hold Position Closed,2015-12-10,417.988007,0.0,97.97877673797657,-2.021223262023426
Short,2015-12-10,417.988007,0.23440571283658046,97.97877673797657,0.0
Take Profit Short,2015-12-11,415.281006,0.23440571283658046,98.61331323703091,-2.6557597610777606
Short,2015-12-12,452.334991,0.21800947350772362,98.61331323703091,0.0
Take Profit Short,2015-12-13,431.660004,0.21800947350772362,103.12065626767995,-5.894029793618131
Long,2015-12-14,433.272003,0.23800443036629798,103.12065626767995,0.0
Take Profit Long,2015-12-15,443.877991,0.23800443036629798,105.64492840009174,5.644928400091743
